"id","gospel","letters","psalms_proverbs","old_test"
105,"Mark 11:1-11","2 Cor 4","Psalms 99","1 Samuel 11-13"
106,"Mark 11:12-26","2 Cor 5","Psalms 100","1 Samuel 14"
107,"Mark 11:27-33","2 Cor 6","Psalms 101","1 Samuel 15-16"
108,"Mark 12:1-12","2 Cor 7","Psalms 102","1 Samuel 17-18"
109,"Mark 12:13-27","2 Cor 8","Psalms 103","1 Samuel 19-20"
110,"Mark 12:28-34","2 Cor 9","Psalms 104","1 Samuel 21-23"
111,"Mark 12:35-44","2 Cor 10","Psalms 105","1 Samuel 24-25"
112,"Mark 13:1-13","2 Cor 11:1-15","Psalms 106:1-23","1 Samuel 26-28"
113,"Mark 13:14-31","2 Cor 11:16-33","Psalms 106:24-48","1 Samuel 29-31"
114,"Mark 13:32-37","2 Cor 12:1-10","Psalms 107","2 Samuel 1-2"
115,"Mark 14:1-11","2 Cor 12:11-21","Psalms 108","2 Samuel 3-4"
116,"Mark 14:12-31","2 Cor 13","Psalms 109","2 Samuel 5-7"
117,"Mark 14:32-42","Galatians 1","Psalms 110","2 Samuel 8-10"
118,"Mark 14:43-52","Galatians 2","Psalms 111","2 Samuel 11-12"
119,"Mark 14:53-65","Galatians 3:1-14","Psalms 112","2 Samuel 13"
120,"Mark 14:66-72","Galatians 3:15-29","Psalms 113","2 Samuel 14-15"
121,"Mark 15:1-15","Galatians 4:1-20","Psalms 114","2 Samuel 16-17"
122,"Mark 15:16-32","Galatians 4:21-31","Psalms 115","2 Samuel 18-19"
123,"Mark 15:33-41","Galatians 5:1-12","Psalms 116","2 Samuel 20-21"
124,"Mark 15:42-47","Galatians 5:13-26","Psalms 117","2 Samuel 22"
125,"Mark 16","Galatians 6","Psalms 118","2 Samuel 23-24"
126,"Luke 1:1-25","Ephesians 1:1-14","Psalms 119:1-8","1 Kings 1"
127,"Luke 1:26-38","Ephesians 1:15-23","Psalms 119:9-16","1 Kings 2-3"
128,"Luke 1:39-56","Ephesians 2:1-10","Psalms 119:17-24","1 Kings 4-5"
129,"Luke 1:57-66","Ephesians 2:11-22","Psalms 119:25-32","1 Kings 6-7"
130,"Luke 1:67-80","Ephesians 3:1-13","Psalms 119:33-40","1 Kings 8"
131,"Luke 2:1-20","Ephesians 3:14-21","Psalms 119:41-48","1 Kings 9-10"
132,"Luke 2:21-40","Ephesians 4:1-16","Psalms 119:49-56","1 Kings 11"
133,"Luke 2:41-52","Ephesians 4:17-24","Psalms 119:57-64","1 Kings 12"
134,"Luke 3:1-20","Ephesians 4:25-32","Psalms 119:65-72","1 Kings 13-14"
135,"Luke 3:21-38","Ephesians 5:1-21","Psalms 119:73-80","1 Kings 15-16"
136,"Luke 4:1-12","Ephesians 5:22-33","Psalms 119:81-88","1 Kings 17-18"
137,"Luke 4:13-30","Ephesians 6:1-9","Psalms 119:89-96","1 Kings 19-20"
138,"Luke 4:31-37","Ephesians 6:10-24","Psalms 119:97-104","1 Kings 21-22"
139,"Luke 4:38-44","Philippians 1:1-11","Psalms 119:105-112","2 Kings 1-3"
140,"Luke 5:1-11","Philippians 1:12-20","Psalms 119:113-120","2 Kings 4-5"
141,"Luke 5:12-16","Philippians 1:21-30","Psalms 119:121-128","2 Kings 6-7"
142,"Luke 5:17-26","Philippians 2:1-11","Psalms 119:129-136","2 Kings 8-9"
143,"Luke 5:27-32","Philippians 2:12-18","Psalms 119:137-144","2 Kings 10-11"
144,"Luke 5:33-39","Philippians 2:19-30","Psalms 119:145-152","2 Kings 12-13"
145,"Luke 6:1-16","Philippians 3:1-9","Psalms 119:153-160","2 Kings 14-15"
146,"Luke 6:17-26","Philippians 3:10-14","Psalms 119:161-168","2 Kings 16-17"
147,"Luke 6:27-36","Philippians 3:15-21","Psalms 119:169-176","2 Kings 18-19"
148,"Luke 6:37-42","Philippians 4:1-7","Psalms 120","2 Kings 20-21"
149,"Luke 6:43-49","Philippians 4:8-13","Psalms 121","2 Kings 22-23"
150,"Luke 7:1-10","Philippians 4:14-23","Psalms 122","2 Kings 24-25"
151,"Luke 7:11-17","Colossians 1:1-14","Psalms 123-124","1 Chron 1-2"
152,"Luke 7:18-35","Colossians 1:15-29","Psalms 125","1 Chron 3-4"
153,"Luke 7:36-50","Colossians 2:1-7","Psalms 126","1 Chron 5-6"
154,"Luke 8:1-15","Colossians 2:8-15","Psalms 127","1 Chron 7-9"
155,"Luke 8:16-25","Colossians 2:16-23","Psalms 128","1 Chron 10-11"
156,"Luke 8:26-39","Colossians 3:1-14","Psalms 129","1 Chron 12-14"
157,"Luke 8:40-56","Colossians 3:15-25","Psalms 130-131","1 Chron 15-16"
158,"Luke 9:1-17","Colossians 4:1-9","Psalms 132","1 Chron 17-19"
159,"Luke 9:18-27","Colossians 4:10-18","Psalms 133-134","1 Chron 20-22"
160,"Luke 9:28-36","1 Thessalonians 1","Psalms 135","1 Chron 23-25"
161,"Luke 9:37-50","1 Thessalonians 2:1-9","Psalms 136","1 Chron 26-28"
162,"Luke 9:51-62","1 Thessalonians 2:10-20","Psalms 137","1 Chron 29"
163,"Luke 10:1-16","1 Thessalonians 3:1-6","Psalms 138","2 Chron 1-2"
